semana,p25,p50_mediana,p75_umbral,casos_2024,casos_2023,zona_2024
1,228.0,307.0,810.0,1623,1504,epidemia
2,247.0,417.0,849.0,1751,1385,epidemia
3,262.0,451.0,884.0,2212,1722,epidemia
4,275.0,473.0,944.0,2734,1623,epidemia
5,289.0,599.0,974.0,3818,1759,epidemia
6,278.0,766.0,950.0,5350,1989,epidemia
7,330.0,769.0,982.0,7485,2128,epidemia
8,342.0,822.0,994.0,10442,2325,epidemia
9,365.0,895.0,1102.0,13865,2336,epidemia
10,394.0,933.0,1345.0,15274,2385,epidemia
11,442.0,891.0,1252.0,18037,2838,epidemia
12,464.0,729.0,1096.0,18440,3616,epidemia
13,502.0,879.0,1010.0,17586,3955,epidemia
14,673.0,1089.0,1123.0,21628,4221,epidemia
15,621.0,1051.0,1310.0,21182,6306,epidemia
16,616.0,1181.0,1564.0,21351,7333,epidemia
17,578.0,1060.0,1498.0,17155,8385,epidemia
18,546.0,1119.0,1606.0,14917,11348,epidemia
19,578.0,1018.0,1591.0,12189,14508,epidemia
20,568.0,1042.0,1542.0,9352,19269,epidemia
21,509.0,859.0,1243.0,6558,17311,epidemia
22,362.0,821.0,1108.0,4148,17274,epidemia
23,314.0,677.0,1006.0,2828,15031,epidemia
24,304.0,641.0,864.0,2054,12809,epidemia
25,263.0,480.0,737.0,1623,10484,epidemia
26,214.0,356.0,701.0,990,8317,epidemia
27,215.0,337.0,619.0,904,7731,epidemia
28,171.0,261.0,581.0,695,7197,epidemia
29,151.0,203.0,482.0,525,6342,epidemia
30,144.0,217.0,392.0,391,4765,alerta
31,164.0,323.0,401.0,424,4987,epidemia
32,146.0,318.0,410.0,413,4656,epidemia
33,124.0,292.0,482.0,440,3982,alerta
34,108.0,248.0,419.0,444,3570,epidemia
35,102.0,323.0,424.0,402,3110,alerta
36,106.0,218.0,450.0,469,2846,epidemia
37,112.0,208.0,460.0,432,2537,alerta
38,118.0,200.0,494.0,427,2096,alerta
39,154.0,241.0,524.0,356,1893,alerta
40,183.0,218.0,486.0,480,1775,alerta
41,204.0,229.0,578.0,419,1605,alerta
42,187.0,311.0,679.0,474,1574,alerta
43,136.0,384.0,703.0,604,1409,alerta
44,158.0,475.0,844.0,681,1387,alerta
45,172.0,817.0,994.0,824,1556,alerta
46,172.0,1069.0,1180.0,969,1530,seguridad
47,172.0,970.0,1169.0,1133,1590,alerta
48,164.0,937.0,1184.0,975,1539,alerta
49,189.0,882.0,1046.0,1069,1364,epidemia
50,197.0,787.0,1064.0,1044,1253,alerta
51,184.0,751.0,976.0,1005,1119,epidemia
52,204.0,736.0,975.0,940,1067,alerta
