ano,semana,casos_real,casos_predicho
2024,1,1623,1113.0
2024,2,1751,1391.0
2024,3,2212,1621.0
2024,4,2734,1940.0
2024,5,3818,2165.0
2024,6,5350,3278.0
2024,7,7485,4444.0
2024,8,10442,4519.0
2024,9,13865,6319.0
2024,10,15274,6288.0
2024,11,18037,6214.0
2024,12,18440,6284.0
2024,13,17586,6283.0
2024,14,21628,6408.0
2024,15,21182,6938.0
2024,16,21351,7772.0
2024,17,17155,8396.0
2024,18,14917,9289.0
2024,19,12189,11133.0
2024,20,9352,13097.0
2024,21,6558,14168.0
2024,22,4148,13228.0
2024,23,2828,13202.0
2024,24,2054,3827.0
2024,25,1623,2206.0
2024,26,990,1630.0
2024,27,904,967.0
2024,28,695,819.0
2024,29,525,702.0
2024,30,391,485.0
2024,31,424,357.0
2024,32,413,409.0
2024,33,440,460.0
2024,34,444,451.0
2024,35,402,453.0
2024,36,469,459.0
2024,37,432,474.0
2024,38,427,474.0
2024,39,356,473.0
2024,40,480,394.0
2024,41,419,459.0
2024,42,474,485.0
2024,43,604,478.0
2024,44,681,659.0
2024,45,824,696.0
2024,46,969,839.0
2024,47,1133,1009.0
2024,48,975,1141.0
2024,49,1069,1005.0
2024,50,1044,1073.0
2024,51,1005,1049.0
2024,52,940,1074.0
